,ts_signal,side,entry_price,tp_price,sl_price,outcome,pnl,bars_held,exit_price
84,2020-08-11 12:00:00,SHORT,387.0,383.00373840598274,389.6641743960115,WIN,0.010326257348881797,3,383.00373840598274
85,2020-08-13 01:00:00,LONG,391.41,397.22266205852515,387.53489196098326,LOSS,-0.009900380774678127,7,387.53489196098326
86,2020-08-16 13:00:00,SHORT,421.72,416.2828744545091,425.34475036366064,LOSS,-0.008595158787016527,2,425.34475036366064
87,2020-08-16 15:00:00,LONG,431.65,437.4284653938161,427.79768973745587,LOSS,-0.008924615458227982,5,427.79768973745587
88,2020-08-17 06:00:00,SHORT,423.92,418.57711111262637,427.4819259249158,LOSS,-0.008402354040658104,2,427.4819259249158
89,2020-08-17 14:00:00,LONG,430.2,435.9079426322939,426.39470491180407,WIN,0.013268113975578585,1,435.9079426322939
90,2020-08-18 14:00:00,SHORT,423.57,417.13448344097714,427.8603443726819,WIN,0.015193513608194296,2,417.13448344097714
91,2020-08-24 08:00:00,LONG,405.0,408.99418735799435,402.33720842800375,LOSS,-0.0065747940049290165,6,402.33720842800375
92,2020-08-25 13:00:00,SHORT,389.91,385.1548682245557,393.08008785029625,WIN,0.012195459914965864,1,385.1548682245557
93,2020-08-28 09:00:00,LONG,391.77,396.57830835568825,388.5644610962078,WIN,0.012273293911448728,6,396.57830835568825
94,2020-09-02 17:00:00,SHORT,430.96,416.4228950509331,440.6514032993779,LOSS,-0.022487941570860166,5,440.6514032993779
95,2020-09-09 15:00:00,LONG,353.0,360.0426076849228,348.30492821005146,LOSS,-0.013300486657078024,5,348.30492821005146
96,2020-09-13 17:00:00,SHORT,359.44,353.30519635475224,363.5298690968318,LOSS,-0.011378447298107665,2,363.5298690968318
97,2020-09-14 16:00:00,LONG,379.4,387.55308095108705,373.9646126992753,LOSS,-0.014326271219622296,3,373.9646126992753
98,2020-09-15 16:00:00,SHORT,368.05,361.0098981564663,372.7434012290225,WIN,0.01912811260299879,8,361.0098981564663
99,2020-09-17 01:00:00,LONG,379.45,385.8704178466717,375.16972143555216,WIN,0.01692032638469295,17,385.8704178466717
100,2020-09-20 10:00:00,SHORT,379.91,376.84745939834704,381.95169373443537,WIN,0.00806122661065248,2,376.84745939834704
101,2020-09-24 21:00:00,LONG,346.11,352.07557507603406,342.1329499493106,WIN,0.01723606678811373,1,352.07557507603406
